DeletionFlag,StreetName,Address,ZipCode,X_COORD,Y_COORD
,HIGH RIDGE RD,2987,06903,-73.56285928,41.16822521
,HIGH RIDGE RD,2988,06903,-73.56361048,41.16799899
,RUSSET RD,245,06903,-73.56459005,41.16792359
,COUNTRY CLUB RD,34,06903,-73.57119147,41.16772829
,MAYAPPLE RD,115,06903,-73.5689738,41.16791711
,HIGH RIDGE RD,2983,06903,-73.56277657,41.16812262
,MAYAPPLE RD,76,06903,-73.56645852,41.16790699
,BOULDEROL RD,71,06903,-73.57375316,41.16757986
,HIGH RIDGE RD,2979,06903,-73.56261112,41.16790328
,RUSSET RD,249,06903,-73.56529185,41.16777396
,HIGH RIDGE RD,2975,06903,-73.56197912,41.16759465
,MAYAPPLE RD,108,06903,-73.56739829,41.1676036
,BOULDEROL RD,43,06903,-73.57230583,41.16735833
,RUSSET RD,241,06903,-73.56419611,41.16748481
,HIGH RIDGE RD,2978,06903,-73.56324218,41.1674936
,MAYAPPLE RD,118,06903,-73.56775035,41.16750809
,RUSSET RD,264,06903,-73.56654779,41.16737719
,MAYAPPLE RD,116,06903,-73.56786393,41.16669032
,MAYAPPLE RD,122,06903,-73.56840704,41.16655643
,COUNTRY CLUB RD,22,06903,-73.57136563,41.16734061
,MAYAPPLE RD,120,06903,-73.56847427,41.16723383
,MAYAPPLE RD,126,06903,-73.56889251,41.16680341
,MAYAPPLE RD,146,06903,-73.56944019,41.16701421
,RUSSET RD,219,06903,-73.56419073,41.16691597
,RUSSET RD,237,06903,-73.56489304,41.1672145
,MC INTOSH RD,154,06903,-73.56634082,41.16684047
,BOULDEROL RD,15,06903,-73.57102963,41.16709757
,RUSSET RD,209,06903,-73.5637064,41.16665423
,MC INTOSH RD,149,06903,-73.56548574,41.16666339
,BOULDEROL RD,68,06903,-73.57350751,41.16637175
,BOULDEROL RD,52,06903,-73.5726648,41.16627301
,BOULDEROL RD,36,06903,-73.57183468,41.16631363
,MAYAPPLE RD,177,06903,-73.57078482,41.1663762
,RUSSET RD,218,06903,-73.56441342,41.16642056
,RUSSET RD,197,06903,-73.56340913,41.16628262
